Country,Date,value
Guinea,3/10/15,3285
Guinea,3/10/15,2871
Guinea,3/10/15,392
Guinea,3/10/15,22
Guinea,3/10/15,2170
Guinea,3/10/15,1778
Guinea,3/10/15,392
Liberia,3/10/15,9343
Liberia,3/10/15,3150
Liberia,3/10/15,1879
Liberia,3/10/15,4314
Liberia,3/10/15,4162
Sierra Leone,3/10/15,11619
Sierra Leone,3/10/15,8428
Sierra Leone,3/10/15,287
Sierra Leone,3/10/15,2904
Sierra Leone,3/10/15,3629
Sierra Leone,3/10/15,3263
Sierra Leone,3/10/15,208
Sierra Leone,3/10/15,158
United Kingdom,3/10/15,1
United Kingdom,3/10/15,0
United Kingdom,3/10/15,0
United Kingdom,3/10/15,0
United Kingdom,3/10/15,1
Mali,3/10/15,7
Mali,3/10/15,1
Mali,3/10/15,0
Mali,3/10/15,6
Mali,3/10/15,8
Nigeria,3/10/15,19
Nigeria,3/10/15,1
Nigeria,3/10/15,0
Nigeria,3/10/15,20
Senegal,3/10/15,1
Senegal,3/10/15,0
Senegal,3/10/15,0
Senegal,3/10/15,1
Spain,3/10/15,1
Spain,3/10/15,0
Spain,3/10/15,0
Spain,3/10/15,1
United States of America,3/10/15,4
United States of America,3/10/15,0
United States of America,3/10/15,0
United States of America,3/10/15,4
Nigeria,3/10/15,7
Nigeria,3/10/15,1
Nigeria,3/10/15,0
Nigeria,3/10/15,8
Senegal,3/10/15,0
Senegal,3/10/15,0
Senegal,3/10/15,0
Senegal,3/10/15,0
Spain,3/10/15,0
Spain,3/10/15,0
Spain,3/10/15,0
Spain,3/10/15,0
United States of America,3/10/15,1
United States of America,3/10/15,0
United States of America,3/10/15,0
United States of America,3/10/15,1
United Kingdom,3/6/15,1
United Kingdom,3/6/15,0
United Kingdom,3/6/15,0
United Kingdom,3/6/15,0
Guinea,3/6/15,3248
Guinea,3/6/15,2840
Guinea,3/6/15,392
Guinea,3/6/15,16
Guinea,3/6/15,2147
Guinea,3/6/15,1755
Guinea,3/6/15,392
Liberia,3/6/15,9249
Liberia,3/6/15,3150
Liberia,3/6/15,1877
Liberia,3/6/15,4222
Liberia,3/6/15,4117
Sierra Leone,3/6/15,11517
Sierra Leone,3/6/15,8389
Sierra Leone,3/6/15,287
Sierra Leone,3/6/15,2841
Sierra Leone,3/6/15,3576
Sierra Leone,3/6/15,3210
Sierra Leone,3/6/15,208
Sierra Leone,3/6/15,158
United Kingdom,3/6/15,1
Mali,3/6/15,7
Mali,3/6/15,1
Mali,3/6/15,0
Mali,3/6/15,6
Mali,3/6/15,8
Nigeria,3/6/15,19
Nigeria,3/6/15,1
Nigeria,3/6/15,0
Nigeria,3/6/15,20
Senegal,3/6/15,1
Senegal,3/6/15,0
Senegal,3/6/15,0
Senegal,3/6/15,1
Spain,3/6/15,1
Spain,3/6/15,0
Spain,3/6/15,0
Spain,3/6/15,1
United States of America,3/6/15,4
United States of America,3/6/15,0
United States of America,3/6/15,0
United States of America,3/6/15,4
Nigeria,3/6/15,7
Nigeria,3/6/15,1
Nigeria,3/6/15,0
Nigeria,3/6/15,8
Senegal,3/6/15,0
Senegal,3/6/15,0
Senegal,3/6/15,0
Senegal,3/6/15,0
Spain,3/6/15,0
Spain,3/6/15,0
Spain,3/6/15,0
Spain,3/6/15,0
United States of America,3/6/15,1
United States of America,3/6/15,0
United States of America,3/6/15,0
United States of America,3/6/15,1
United Kingdom,3/5/15,1
United Kingdom,3/5/15,0
United Kingdom,3/5/15,0
United Kingdom,3/5/15,0
Guinea,3/5/15,3237
Guinea,3/5/15,2833
Guinea,3/5/15,392
Guinea,3/5/15,12
Guinea,3/5/15,2141
Guinea,3/5/15,1749
Guinea,3/5/15,392
Liberia,3/5/15,9249
Liberia,3/5/15,3150
Liberia,3/5/15,1877
Liberia,3/5/15,4222
Liberia,3/5/15,4117
Sierra Leone,3/5/15,11497
Sierra Leone,3/5/15,8383
Sierra Leone,3/5/15,287
Sierra Leone,3/5/15,2827
Sierra Leone,3/5/15,3565
Sierra Leone,3/5/15,3199
Sierra Leone,3/5/15,208
Sierra Leone,3/5/15,158
United Kingdom,3/5/15,1
Mali,3/5/15,7
Mali,3/5/15,1
Mali,3/5/15,0
Mali,3/5/15,6
Mali,3/5/15,8
Nigeria,3/5/15,19
Nigeria,3/5/15,1
Nigeria,3/5/15,0
Nigeria,3/5/15,20
Senegal,3/5/15,1
Senegal,3/5/15,0
Senegal,3/5/15,0
Senegal,3/5/15,1
Spain,3/5/15,1
Spain,3/5/15,0
Spain,3/5/15,0
Spain,3/5/15,1
United States of America,3/5/15,4
United States of America,3/5/15,0
United States of America,3/5/15,0
United States of America,3/5/15,4
Nigeria,3/5/15,7
Nigeria,3/5/15,1
Nigeria,3/5/15,0
Nigeria,3/5/15,8
Senegal,3/5/15,0
Senegal,3/5/15,0
Senegal,3/5/15,0
Senegal,3/5/15,0
Spain,3/5/15,0
Spain,3/5/15,0
Spain,3/5/15,0
Spain,3/5/15,0
United States of America,3/5/15,1
United States of America,3/5/15,0
United States of America,3/5/15,0
United States of America,3/5/15,1
United Kingdom,3/4/15,0
United Kingdom,3/4/15,0
United Kingdom,3/4/15,0
United Kingdom,3/4/15,1
United Kingdom,3/4/15,1
Mali,3/4/15,7
Mali,3/4/15,1
Mali,3/4/15,0
Mali,3/4/15,6
Mali,3/4/15,8
Nigeria,3/4/15,19
Nigeria,3/4/15,1
Nigeria,3/4/15,0
Nigeria,3/4/15,20
Senegal,3/4/15,1
Senegal,3/4/15,0
Senegal,3/4/15,0
Senegal,3/4/15,1
Spain,3/4/15,1
Spain,3/4/15,0
Spain,3/4/15,0
Spain,3/4/15,1
United States of America,3/4/15,4
United States of America,3/4/15,0
United States of America,3/4/15,0
United States of America,3/4/15,4
Nigeria,3/4/15,7
Nigeria,3/4/15,1
Nigeria,3/4/15,0
Nigeria,3/4/15,8
Senegal,3/4/15,0
Senegal,3/4/15,0
Senegal,3/4/15,0
Senegal,3/4/15,0
Spain,3/4/15,0
Spain,3/4/15,0
Spain,3/4/15,0
Spain,3/4/15,0
United States of America,3/4/15,1
United States of America,3/4/15,0
United States of America,3/4/15,0
United States of America,3/4/15,1
Guinea,3/4/15,3205
Guinea,3/4/15,2808
Guinea,3/4/15,392
Guinea,3/4/15,5
Guinea,3/4/15,2127
Guinea,3/4/15,1735
Guinea,3/4/15,392
Liberia,3/4/15,9265
Liberia,3/4/15,3153
Liberia,3/4/15,1888
Liberia,3/4/15,4224
Liberia,3/4/15,4057
Sierra Leone,3/4/15,11443
Sierra Leone,3/4/15,8353
Sierra Leone,3/4/15,287
Sierra Leone,3/4/15,2803
Sierra Leone,3/4/15,3530
Sierra Leone,3/4/15,3164
Sierra Leone,3/4/15,208
Sierra Leone,3/4/15,158
United Kingdom,3/2/15,1
United Kingdom,3/2/15,0
United Kingdom,3/2/15,0
United Kingdom,3/2/15,0
Guinea,3/2/15,3205
Guinea,3/2/15,2808
Guinea,3/2/15,392
Guinea,3/2/15,5
Guinea,3/2/15,2127
Guinea,3/2/15,1735
Guinea,3/2/15,392
Liberia,3/2/15,9265
Liberia,3/2/15,3153
Liberia,3/2/15,1888
Liberia,3/2/15,4224
Liberia,3/2/15,4057
Sierra Leone,3/2/15,11443
Sierra Leone,3/2/15,8353
Sierra Leone,3/2/15,287
Sierra Leone,3/2/15,2803
Sierra Leone,3/2/15,3530
Sierra Leone,3/2/15,3164
Sierra Leone,3/2/15,208
Sierra Leone,3/2/15,158
United Kingdom,3/2/15,1
Mali,3/2/15,7
Mali,3/2/15,1
Mali,3/2/15,0
Mali,3/2/15,6
Mali,3/2/15,8
Nigeria,3/2/15,19
Nigeria,3/2/15,1
Nigeria,3/2/15,0
Nigeria,3/2/15,20
Senegal,3/2/15,1
Senegal,3/2/15,0
Senegal,3/2/15,0
